taxa	Abundance
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus hiratsukae	8.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus homomorphus	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus ibericus	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus igneus	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus indologenus	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus japonicus	10.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus laciniosus	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus lentulus	73.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus multiplicatus	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus neoellipticus	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus nishimurae	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus novofumigatus	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus paleaceus	3.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus papuensis	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus pernambucoensis	15.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus primulinus	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus pseudofelis	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus pseudoviridinutans	7.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus siamensis	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus spathulatus	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus sulphureus	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus taichungensis	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus thermomutatus	12.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus triticus	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus tsurutae	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus turcosus	20.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus udagawae	6.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus unguis	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus uvarum	7.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus violaceofuscus	7.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus viridinutans	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Arthroderma|s__Arthroderma benhamiae	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Arthroderma|s__Arthroderma uncinatum	37.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton equinum	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton interdigitale	10.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton mentagrophytes	12.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton rubrum	61.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton schoenleinii	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton simii	6.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton soudanense	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton tonsurans	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton verrucosum	1.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton violaceum	6.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Spiromastix|s__Spiromastix sp.	7.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Ascoideaceae|g__Ascoidea|s__Ascoidea rubescens	33.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida albicans	2510.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida dubliniensis	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida parapsilosis	31.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces fabryi	1.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces hansenii	76.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Meyerozyma|s__Meyerozyma caribbica	11.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Meyerozyma|s__Meyerozyma carpophila	4.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Meyerozyma|s__Meyerozyma guilliermondii	37.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Meyerozyma|s__Meyerozyma sp.	9.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces|s__Scheffersomyces lignosus	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces|s__Scheffersomyces shehatae	32.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces|s__Scheffersomyces virginianus	3.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Suhomyces|s__Candida tanzawaensis	76.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Suhomyces|s__Suhomyces tanzawaensis	38.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Yamadazyma|s__Yamadazyma tenuis	48.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Magnusiomyces|s__Magnusiomyces ingens	3.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Saprochaete|s__Saprochaete ingens	36.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia|s__Yarrowia lipolytica	4.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia|s__Yarrowia sp.	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae|g__Clavispora|s__Clavispora lusitaniae	360.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Cyberlindnera|s__Cyberlindnera jadinii	37.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Cyberlindnera|s__[Candida] vartiovaarae	1.0
