MockCommunity	GeneratedReads	NumSpecies	NumGenera	NumFamily	ClassifiedEukaryota	ClassifiedBacteria	ClassifiedViruses	ClassifiedHuman	TDSpecies	TDGenera	TDFamily	FDSpecies	FDGenera	FDFamily	PropEukaryota	PropHuman	PropBacteria	PropViruses	PropUnclassified	RecallSpecies	PrecisionSpecies	RecallGenera	PrecisionGenera	RecallFamily	PrecisionFamily	Tool	ComType	ClassifiedReads	UnclassifiedReads
large_1_EC	28167862.0	100.0	67.0	44.0	10239072.0	311671.0	2697.0	563724.0	32.0	26.0	20.0	63.0	28.0	12.0	36.35019228651433	2.001302051252594	1.106477303815249	0.0095747415973565	62.53375566807307	32.0	33.68421052631579	38.80597014925373	48.14814814814815	45.45454545454545	62.5	kraken	EqualCoverage		
small_1_EC	2329085.0	10.0	9.0	6.0	1937480.0	5455.0	76.0	15174.0	7.0	9.0	6.0	83.0	45.0	26.0	83.18631565614824	0.6515004819489199	0.2342121476888993	0.0032630840007985	16.57620911216206	70.0	7.777777777777778	100.0	16.666666666666664	100.0	18.75	kraken	EqualCoverage		
median_3_EC	12163378.0	50.0	36.0	20.0	4098988.0	102863.0	944.0	182250.0	19.0	18.0	10.0	76.0	36.0	22.0	33.69942132851581	1.4983502115941805	0.8456779029641273	0.0077610019190392	65.44713976660103	38.0	20.0	50.0	33.33333333333333	50.0	31.25	kraken	EqualCoverage		
large_2_EC	28604376.0	100.0	59.0	33.0	11817079.0	229585.0	2272.0	519184.0	33.0	26.0	17.0	62.0	28.0	15.0	41.31213699610157	1.815050955839764	0.8026219484738979	0.0079428406338946	57.87729821479064	33.0	34.73684210526316	44.06779661016949	48.14814814814815	51.51515151515152	53.125	kraken	EqualCoverage		
small_2_EC	2386135.0	10.0	9.0	6.0	1026101.0	18911.0	151.0	55696.0	6.0	6.0	3.0	88.0	48.0	29.0	43.00263815752252	2.3341512529676653	0.7925368849625022	0.0063282253518765	56.1984967321631	60.0	6.382978723404255	66.66666666666666	11.11111111111111	50.0	9.375	kraken	EqualCoverage		
small_3_EC	2764682.0	10.0	9.0	7.0	1671830.0	13233.0	79.0	16127.0	7.0	7.0	6.0	85.0	47.0	26.0	60.470969174755	0.5833220601863072	0.4786445602062009	0.0028574714922005	39.04752879354661	70.0	7.608695652173914	77.77777777777779	12.962962962962962	85.71428571428571	18.75	kraken	EqualCoverage		
complete_1_EC	48355529.0	165.0	90.0	50.0	15622108.0	495711.0	4229.0	919464.0	43.0	31.0	20.0	52.0	23.0	12.0	32.30676682287976	1.9014661177628729	1.025138200845657	0.0087456389940434	66.65934933728055	26.060606060606062	45.26315789473684	34.44444444444444	57.407407407407405	40.0	62.5	kraken	EqualCoverage		
small_3	1000000.0	10.0	9.0	7.0					5.0	5.0	4.0	0.0	0.0	0.0						50.0	100.0	55.55555555555556	100.0	57.14285714285714	100.0	metaphlan	EqualReads		
median_2	5000000.0	50.0	37.0	25.0					13.0	10.0	8.0	2.0	0.0	0.0						26.0	86.66666666666667	27.027027027027028	100.0	32.0	100.0	metaphlan	EqualReads		
median_3	5000000.0	50.0	36.0	20.0					13.0	10.0	6.0	3.0	0.0	1.0						26.0	81.25	27.77777777777778	100.0	30.0	85.71428571428571	metaphlan	EqualReads		
