Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Kluyveromyces,2.0,0.0319,large_2,HMS,Genus,EqualReads
Lodderomyces,1.0,0.0318,large_2,HMS,Genus,EqualReads
Malassezia,4.0,0.0972,large_2,HMS,Genus,EqualReads
Naumovozyma,1.0,0.0001,large_2,HMS,Genus,EqualReads
Paracoccidioides,1.0,0.0313,large_2,HMS,Genus,EqualReads
Pichia,1.0,0.0324,large_2,HMS,Genus,EqualReads
Talaromyces,1.0,0.0262,large_2,HMS,Genus,EqualReads
Trichophyton,1.0,0.0375,large_2,HMS,Genus,EqualReads
Trichosporon,1.0,0.0288,large_2,HMS,Genus,EqualReads
Yarrowia,1.0,0.004,large_2,HMS,Genus,EqualReads
Ajellomycetaceae,2.0,3.631875449441644,large_2,HMS,Family,EqualReads
Arthrodermataceae,3.0,3.811845588780647,large_2,HMS,Family,EqualReads
Aspergillaceae,8.0,12.300947737393868,large_2,HMS,Family,EqualReads
Cryptococcaceae,9.0,9.28940655967134,large_2,HMS,Family,EqualReads
Debaryomycetaceae,18.0,26.06655122264251,large_2,HMS,Family,EqualReads
Dipodascaceae,2.0,0.4015871940975212,large_2,HMS,Family,EqualReads
Herpotrichiellaceae,2.0,6.797976182414457,large_2,HMS,Family,EqualReads
Hypoxylaceae,1.0,0.3814651072049325,large_2,HMS,Family,EqualReads
Malasseziaceae,4.0,9.716581695995254,large_2,HMS,Family,EqualReads
Metschnikowiaceae,1.0,3.2246289184055823,large_2,HMS,Family,EqualReads
Mucoraceae,1.0,3.149009857887761,large_2,HMS,Family,EqualReads
Nectriaceae,2.0,5.57515631701316,large_2,HMS,Family,EqualReads
Pichiaceae,6.0,3.239510878503226,large_2,HMS,Family,EqualReads
Pleosporaceae,4.0,0.24080398056154811,large_2,HMS,Family,EqualReads
Saccharomycetaceae,14.0,3.360936708942398,large_2,HMS,Family,EqualReads
Trichocomaceae,1.0,2.6194507057241534,large_2,HMS,Family,EqualReads
Trichosporonaceae,1.0,2.8852783071649464,large_2,HMS,Family,EqualReads
Arthroderma uncinatum,0.6060606060606061,0.0258,complete_1,HMS,Species,EqualReads
Aspergillus flavus,0.6060606060606061,0.0498,complete_1,HMS,Species,EqualReads
Aspergillus lentulus,0.6060606060606061,0.0316,complete_1,HMS,Species,EqualReads
Aspergillus terreus,0.6060606060606061,0.0245,complete_1,HMS,Species,EqualReads
Candida albicans,0.6060606060606061,0.0212,complete_1,HMS,Species,EqualReads
Candida dubliniensis,0.6060606060606061,0.006,complete_1,HMS,Species,EqualReads
Candida orthopsilosis,0.6060606060606061,0.0261,complete_1,HMS,Species,EqualReads
Candida parapsilosis,0.6060606060606061,0.0162,complete_1,HMS,Species,EqualReads
Candida theae,0.6060606060606061,0.0249,complete_1,HMS,Species,EqualReads
Candida tropicalis,0.6060606060606061,0.022,complete_1,HMS,Species,EqualReads
Cladophialophora bantiana,0.6060606060606061,0.0254,complete_1,HMS,Species,EqualReads
Cladophialophora carrionii,0.6060606060606061,0.0254,complete_1,HMS,Species,EqualReads
Clavispora lusitaniae,0.6060606060606061,0.0199,complete_1,HMS,Species,EqualReads
