Profile,ComType,Genus,NumSpecies,InclSpecies,Tool,SpeciesDet,MissedSp,GenusDetected
median_3,EqualReads,Saccharomyces,3,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",Metaphlan,0,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",Yes
median_3,EqualReads,Saccharomyces,3,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",HMS,0,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",No
median_3,EqualReads,Saccharomyces,3,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",FunOMIC,3,[],Yes
median_3,EqualReads,Saccharomyces,3,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",MiCoP,2,['Saccharomyces kudriavzevii'],Yes
median_3,EqualReads,Scheffersomyces,3,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Kraken,1,"['Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Yes
median_3,EqualReads,Scheffersomyces,3,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Euk,1,"['Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Yes
median_3,EqualReads,Scheffersomyces,3,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Metaphlan,0,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",No
median_3,EqualReads,Scheffersomyces,3,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",HMS,0,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",No
median_3,EqualReads,Scheffersomyces,3,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",FunOMIC,1,"['Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Yes
median_3,EqualReads,Scheffersomyces,3,"['Scheffersomyces stipitis', 'Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",MiCoP,1,"['Scheffersomyces spartinae', 'Scheffersomyces amazonensis']",Yes
median_3,EqualReads,Debaryomyces,2,"['Debaryomyces hansenii', 'Debaryomyces fabryi']",Kraken,1,['Debaryomyces fabryi'],Yes
median_3,EqualReads,Debaryomyces,2,"['Debaryomyces hansenii', 'Debaryomyces fabryi']",Euk,1,['Debaryomyces hansenii'],Yes
median_3,EqualReads,Debaryomyces,2,"['Debaryomyces hansenii', 'Debaryomyces fabryi']",Metaphlan,2,[],Yes
median_3,EqualReads,Debaryomyces,2,"['Debaryomyces hansenii', 'Debaryomyces fabryi']",HMS,1,['Debaryomyces hansenii'],Yes
median_3,EqualReads,Debaryomyces,2,"['Debaryomyces hansenii', 'Debaryomyces fabryi']",FunOMIC,2,[],Yes
median_3,EqualReads,Debaryomyces,2,"['Debaryomyces hansenii', 'Debaryomyces fabryi']",MiCoP,2,[],Yes
median_3,EqualReads,Fonsecaea,2,"['Fonsecaea monophora', 'Fonsecaea nubica']",Kraken,0,"['Fonsecaea monophora', 'Fonsecaea nubica']",No
median_3,EqualReads,Fonsecaea,2,"['Fonsecaea monophora', 'Fonsecaea nubica']",Euk,1,['Fonsecaea monophora'],Yes
median_3,EqualReads,Fonsecaea,2,"['Fonsecaea monophora', 'Fonsecaea nubica']",Metaphlan,0,"['Fonsecaea monophora', 'Fonsecaea nubica']",No
median_3,EqualReads,Fonsecaea,2,"['Fonsecaea monophora', 'Fonsecaea nubica']",HMS,2,[],Yes
median_3,EqualReads,Fonsecaea,2,"['Fonsecaea monophora', 'Fonsecaea nubica']",FunOMIC,2,[],Yes
median_3,EqualReads,Fonsecaea,2,"['Fonsecaea monophora', 'Fonsecaea nubica']",MiCoP,2,[],Yes
median_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",Kraken,2,[],Yes
median_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",Euk,1,['Kluyveromyces lactis'],Yes
median_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",Metaphlan,0,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",No
median_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",HMS,1,['Kluyveromyces lactis'],Yes
