Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Babjeviella|species-Babjeviella_inositovora	species	Babjeviella inositovora	45609	11.0158	1.3444	3583	325259
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Suhomyces|species-Suhomyces_tanzawaensis	species	Suhomyces tanzawaensis	46583	12.3388	1.5059	4367	353925
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|genus-Kuraishia|species-Kuraishia_capsulata	species	Kuraishia capsulata	317047	14.7646	1.8019	5073	343593
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|genus-Diutina|species-Diutina_rugosa	species	Diutina rugosa	5481	13.0721	1.5954	4266	326345
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Komagataella|species-Komagataella_phaffii	species	Komagataella phaffii	460519	16.8002	2.0504	5335	317556
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Wickerhamomyces|species-Wickerhamomyces_ciferrii	species	Wickerhamomyces ciferrii	1041607	9.0111	1.0998	2445	271332
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Cyberlindnera|species-Cyberlindnera_jadinii	species	Cyberlindnera jadinii	4903	13.4148	1.6372	4461	332543
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycodaceae|genus-Saccharomycodes|species-Saccharomycodes_ludwigii	species	Saccharomycodes ludwigii	36035	13.4242	1.6384	3675	273760
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	species	Clavispora lusitaniae	36911	13.8934	1.6956	4449	320224
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Metschnikowia|species-Metschnikowia_bicuspidata	species	Metschnikowia bicuspidata	27322	9.9089	1.2093	2996	302353
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Saprochaete|species-Saprochaete_ingens	species	Saprochaete ingens	2606893	7.7343	0.9439	2700	349094
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Yarrowia|species-Yarrowia_lipolytica	species	Yarrowia lipolytica	4952	7.9393	0.969	2730	343860
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Ascoideaceae|genus-Ascoidea|species-Ascoidea_rubescens	species	Ascoidea rubescens	54195	8.5407	1.0423	2569	300796
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_tetrasperma	species	Neurospora tetrasperma	40127	3.158	0.3854	991	313809
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Sordaria|species-Sordaria_macrospora	species	Sordaria macrospora	5147	4.0443	0.4936	1349	333555
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Chaetomiaceae|genus-Chaetomium|species-Chaetomium_globosum	species	Chaetomium globosum	38033	3.9174	0.4781	1258	321128
phylum-Ascomycota|class-Sordariomycetes|order-Microascales|family-Microascaceae|genus-Scedosporium|species-Scedosporium_apiospermum	species	Scedosporium apiospermum	563466	3.0198	0.3685	1100	364265
phylum-Ascomycota|class-Sordariomycetes|order-Glomerellales|family-Plectosphaerellaceae|genus-Verticillium|species-Verticillium_alfalfae	species	Verticillium alfalfae	1051613	2.3987	0.2928	538	224286
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Cordycipitaceae|genus-Beauveria|species-Beauveria_bassiana	species	Beauveria bassiana	176275	2.523	0.3079	521	206497
